time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1663	1.369	5.17995	0.252674	0.247379	radar	1347.88	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3888	1.44791	5.1407	0.273962	0.260403	lidar	4018.83	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6167	1.53694	4.97982	0.301827	0.285585	radar	1414.57	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8383	1.55974	4.9334	0.28997	0.249655	lidar	4397.74	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1069	1.6125	5.04527	0.287021	0.225648	radar	1561.43	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3884	1.6531	5.09275	0.276969	0.195462	lidar	5132.1	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6182	1.70975	5.02164	0.281879	0.189862	radar	1550.58	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8467	1.77079	4.9983	0.287588	0.184731	lidar	5316.49	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1048	1.86577	5.1298	0.304628	0.193003	radar	1773.66	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3498	1.88678	5.10111	0.284323	0.151637	lidar	5812.12	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6077	1.9483	5.18969	0.282883	0.137068	radar	1854.56	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8076	2.08735	5.15064	0.330102	0.19275	lidar	6122.82	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0768	2.20211	5.30753	0.349048	0.201645	radar	2106.25	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2818	2.34537	5.27183	0.39135	0.245995	lidar	6639.22	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.454	2.499	5.0473	0.446357	0.313343	radar	1964.45	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7052	2.60851	5.084	0.457666	0.307185	lidar	7436.67	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9237	2.72433	5.05643	0.476162	0.312633	radar	2246.39	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1529	2.8758	5.09222	0.507609	0.33393	lidar	7896.96	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
